temperature,top_p,mode,word_count,coverage,readability,diversity,overall
0.0,0.8,gemini_api,72,0.6667,1.0,0.7778,0.8167
0.0,0.95,gemini_api,72,0.6667,1.0,0.7778,0.8167
0.0,1.0,gemini_api,72,0.6667,1.0,0.7778,0.8167
0.3,0.8,gemini_api,72,0.5556,1.0,0.7639,0.7646
0.3,0.95,gemini_api,86,0.4444,0.9636,0.7209,0.7027
0.3,1.0,gemini_api,75,0.5556,0.8636,0.7333,0.7395
0.7,0.8,local_transformers,7,0.0,0.5,1.0,0.3278
0.7,0.95,gemini_api,78,0.6667,0.8909,0.7564,0.7971
0.7,1.0,gemini_api,80,0.5556,0.9091,0.75,0.7489
1.0,0.8,gemini_api,71,0.5556,0.8273,0.7606,0.7382
1.0,0.95,gemini_api,77,0.3333,0.8818,0.7013,0.6375
1.0,1.0,gemini_api,75,0.2222,0.8636,0.7867,0.5975
